Dpt;M. Emmanuel MACRON;Mme. Nathalie ARTHAUD;M. Fabien ROUSSEL;M. Jean LASSALE;Mme. Marine LEPEN;M. Eric ZEMMOUR;M. Jean-Luc MELENCHON;Mme. Anne HIDALGO;M. Yannick JADOT;Mme. Valerie PECRESSE;M. Philippe POUTOU;M. Nicolas DUPONT-AIGNAN;Abstentions;Blancs;M. Emmanuel MACRON 2;Mme. Marine LEPEN 2;Part immigration;Mediane du niveau vie;Taux de pauvrete-Ensemble;Part des agriculteurs exploitants;Part des artisans comm. chefs entr.;Part des cadres professions intellect. superieures;Part des professions intermed.;Part des employes;Part des ouvriers;0 a 19ans;20 a 39ans;40 a 59ans;60 a 74ans;75 ans et plus
Meurthe-et-Moselle;95252;2373;7961;8739;97243;23518;73892;6362;14588;13387;3214;7271;130919;5092;179237;150177;8,8;23010;15,3;0,7;4,9;14,2;26,1;30,1;22,2;167853;185197;182518;127052;67773
Meuse;24539;702;1957;3500;34588;7347;13559;1483;3130;4403;883;2422;34092;1509;41930;52499;3,6;21890;14,8;3,3;5,1;7,9;21,7;30,8;29,7;39230;37123;46186;37711;19376
Morbihan;152740;2952;11529;14399;102856;26595;84200;8267;27036;22838;4376;9586;130520;7959;269755;159717;3,4;23140;11,1;2;7,6;11,8;24,7;27,9;25,4;167890;148022;199836;165900;91319
Moselle;136366;3499;8750;14163;159254;39369;100159;7534;18931;19300;4343;12651;210299;7943;249556;244993;11,5;22980;15,9;0,6;4,5;12,4;25,3;30,2;25,6;231897;246513;278501;195422;98215
Nievre;28686;833;4281;4106;32838;7378;19930;2160;3552;5172;1010;2495;38850;1957;50556;50779;6,1;21380;16,1;3,7;6,4;9,5;22,5;30,8;25,7;37974;34950;49205;47841;29409
Nord;336138;7673;45902;22459;373127;73168;279785;18215;46962;42470;8265;20617;514033;17416;633569;565618;7,4;21340;19,5;0,5;4,4;15,7;24,9;28,2;23,7;669638;665972;649527;416401;205627
Oise;100043;2859;9054;9179;132873;30333;79446;4251;13785;17450;3048;9393;142081;6324;182791;203866;8,6;23330;13,4;0,7;5;13,6;26,1;28,6;24,3;217040;193273;222004;135846;63566
Orne;46005;1203;3261;4895;41804;8910;22993;2368;5513;8838;1334;3826;50935;2586;79275;64551;6,1;21400;15,6;3,9;6,9;8,3;20,5;28,4;30,7;58846;51880;68902;59175;35792
Pas-de-Calais;194610;5887;26146;17010;305816;40764;124741;11619;19295;25307;5488;13970;286319;10601;323661;437820;2,1;20720;18,4;1;4,7;9,3;23,5;30,7;28,6;363483;332479;373320;261970;125336
Puy-de-Dome;100134;2556;12713;16136;78182;20624;74534;8216;17029;17352;3189;6922;100869;6938;188468;124825;7;23060;13,9;1,8;6,2;15,8;25,4;27,8;21,6;148925;154943;170044;123117;69767
Pyrenees-Atlantiques;111610;1677;10170;48246;69768;25877;76030;9276;19967;17166;4982;6721;110134;5816;219719;128742;7,8;23300;12,6;2,4;7,9;14,1;26,4;28,8;19,6;144169;143811;184255;137174;85250
Hautes-Pyrenees;33692;636;4539;14761;29938;8714;26449;3315;4872;4560;1003;2409;39595;2064;65085;52182;6,9;21530;16;2,4;7,9;9,6;24,1;33,8;21;45349;44901;58959;50145;31050
Pyrenees-Orientales;55169;1312;6509;11690;87930;24782;51556;5013;8588;8815;1995;5209;87704;3528;105893;136610;10,3;20650;21,2;1,3;8,9;10;24,5;32,6;20,9;104312;94186;124651;102055;63175
Bas-Rhin;177069;3687;7015;14652;145883;40458;105055;8348;28573;24812;4158;17009;190224;8335;319370;221958;11,8;24090;13,5;0,6;4,9;16,9;25,6;26,4;24,2;261617;293146;304864;199589;102561
Haut-Rhin;107248;2265;4649;11063;106937;30284;66238;4881;18963;15994;2842;13745;137861;6382;191814;170781;12,7;24470;13,7;0,8;5;12,8;25,5;27,5;27,1;174493;172261;208623;140417;72702
Rhone;278243;3774;15938;17572;150463;74168;229036;15895;51907;50263;5267;16487;255580;12708;550592;251470;13,1;24480;14,8;0,5;5,8;23,7;27,4;25,1;16,1;478127;533360;466863;265641;164634
Haute-Saone;30204;1171;2836;4820;46618;9675;21089;2345;4292;6754;1295;3640;39039;2364;53098;70052;4,9;21860;13,6;2,6;6,2;8,9;23,6;27,8;29,9;52473;45431;62194;47976;24545
Saone-et-Loire;82633;1979;7419;10186;81970;20686;52336;6037;10730;15210;2369;7745;95369;5923;144990;126860;7,2;22170;13,3;2,8;6,7;10,1;23,1;28,6;27,7;116910;104309;140320;115939;71048
Sarthe;83876;2150;6908;7546;82234;16218;54244;5409;13541;15937;2505;6494;105454;6694;154909;124658;5;22230;13,5;2;5,1;11;23,7;28,4;28,4;135275;120024;144057;105646;62051
Savoie;64689;1205;5536;8081;56733;18045;49858;4418;15642;13608;1849;6694;68929;3931;125676;92337;7,7;24270;11,2;1;7,8;14;28,4;26,9;21,3;102244;99237;119416;79699;44276
Haute-Savoie;130422;1880;5997;13371;87744;33353;78062;6606;29948;22349;3232;14175;129384;6918;236764;147032;14,3;28120;9,5;0,7;7,2;15,3;28,3;26,8;21,1;209281;211357;234507;128343;69527
Paris;372820;2891;17267;12139;58429;86088;317372;22901;80268;69564;5732;9591;296668;11028;808107;141405;20,1;29730;15,6;0;5,4;46,4;22,3;18,3;6,3;393712;704194;531569;308926;179301
Seine-Maritime;179698;4433;19896;13588;177806;33361;136136;11139;24785;24281;5477;12365;222147;10982;332146;268699;6,1;22340;15,4;0,9;4,8;13;25,5;29;24,8;300330;300350;308809;223287;121510
Seine-et-Marne;165208;3440;12843;13797;155738;47893;170969;7853;26718;36828;4600;15042;223172;11057;328698;248317;14,7;24640;12,4;0,3;5,1;16,8;28,4;30,2;17,8;389523;360526;385885;210359;98096
Yvelines;246062;2774;11721;13687;101398;64407;168585;9046;40470;61296;3963;13097;211708;9601;464913;189475;16;28130;10,5;0,1;4,7;31,7;26,6;23,9;11,8;386190;344940;394538;211766;119878
Deux-Sevres;68446;1644;4538;7014;47903;8803;39120;4340;10074;9257;2134;4531;59403;3839;117804;71801;5;22220;12,4;3,4;5,9;11,6;22,3;28,4;27,6;84715;73551;99339;73706;42831
Somme;83107;2486;7706;7371;98024;16885;52343;3746;8048;11380;2206;5616;102687;4837;140763;146537;4,1;21560;16,4;1,9;4,7;11,5;23,4;28,6;27,8;133870;134036;142448;101454;53470
Tarn;53925;1175;5313;17010;56543;15982;48430;5818;8680;10014;1829;5123;62818;3451;106768;94441;6,4;21730;15,7;2,9;8,1;11,8;25,7;29,3;20,9;84364;75368;102436;79714;51554
Tarn-et-Garonne;31737;679;3628;9573;42183;11772;27881;3069;4835;5994;1057;3412;39625;2169;62503;67770;9,2;21520;16,7;3;7,4;10,6;23,7;29,9;24,1;63114;52867;70807;49506;28592
Var;142335;2098;10672;17784;183287;79329;89272;5703;21044;28342;3578;15286;211212;7803;252720;310137;8;23120;15,6;0,7;9,8;12,4;25,3;32,7;17,8;224541;222508;279694;224340;150991
Vaucluse;66885;1221;6247;9843;89413;30473;63049;3769;12128;11918;2023;6896;101650;4350;134476;145707;11,1;21370;19,9;1,7;9;11,9;24,1;28,5;23,2;131359;118455;145742;105182;62577
